888888,99999999,55555555555,55555,55
555555,66666666,5454,654654,654
878787,87878787,7878787878,878787878787,787
878787,87878787,8787878787,87878787,878787
878787,87878787,87878,878,78
848787,87878787,8787878787,878787878,7
654654,64646546,6546546,6546,4
878787,87878787,878,878,87
878787,878787,8787878,7878787,7
545454,54546546,65464654654,6464646,4
464654,65465465,6465464,64654654,4
987987,98797987,9879798798,79879879,87
546464,64646465,64654,64654,6465
546465,64654654,64654,65465,4654
546648,646546,54654654,646546,5465
787878,87878787,8787,8787,878
878787,87878799,8787,878,787
546546,65654646,64654,64654,65
465465,64646546,4654654,65465,46546
654654,64654654,64654,65465,65
987979,98798798,987987,98798,987
